category,repo,owner,branch,group
Backend,openmrs-module-billing,openmrs,main,java21
Backend,openmrs-module-emrapi,openmrs,master,java21
Backend,openmrs-module-fhir2,openmrs,master,java21
Backend,openmrs-module-idgen,openmrs,master,java21
Backend,openmrs-module-openconceptlab,openmrs,master,java21
Backend,openmrs-module-patientdocuments,openmrs,main,java21-skipTests
Backend,openmrs-module-queue,openmrs,main,java21
Backend,openmrs-module-reporting,openmrs,master,java21
Backend,openmrs-module-reportingrest,openmrs,master,java21
Backend,openmrs-module-webservices.rest,openmrs,3.x,java21
Backend,openmrs-module-legacyui,openmrs,2.x,java21
Backend,openmrs-module-tasks,openmrs,main,java21
Backend,openmrs-module-appointmentscheduling,openmrs,master,java8
Backend,openmrs-module-appointments,Bahmni,master,java8
Dependencies,openmrs-module-event,openmrs,master,java21
Dependencies,openmrs-module-metadatamapping,openmrs,master,java21
Dependencies,openmrs-module-serialization.xstream,openmrs,master,java8
Dependencies,openmrs-module-o3forms,openmrs,main,java21
Dependencies,openmrs-module-htmlwidgets,openmrs,master,java21
Dependencies,openmrs-module-calculation,openmrs,master,java21
Dependencies,openmrs-module-stockmanagement,openmrs,master,java21
Dependencies,openmrs-module-querystore,openmrs,main,java21
Dependencies,openmrs-module-teleconsultation,Bahmni,main,java21
Dependencies,openmrs-module-initializer,mekomsolutions,main,java21-skipTests
